Order ID,Product Name,Category,Unit Price,Units Sold,Total Price,Order Date,City,Country
B08N22GJ4V,Laptop Pro 15,Electronics,1200,3,3600,01/15/2023,Los Angeles,USA
B09248L42G,Smart Watch Series 7,Electronics,399,10,3990,01/18/2023,New York,USA
B08H95Y452,Ergonomic Office Chair,Furniture,250,5,1250,01/22/2023,Los Angeles,USA
B07W5S2W2G,Wireless Mouse,Electronics,25,100,2500,02/01/2023,Chicago,USA
B08XN337B6,Standing Desk,Furniture,450,4,1800,02/05/2023,New York,USA
B0931F63B4,Organic Coffee Beans,Groceries,22,50,1100,02/10/2023,Seattle,USA
B08P3V8RJT,Bluetooth Headphones,Electronics,79,30,2370,03/12/2023,Chicago,USA
B07Y5P6X3F,Yoga Mat,Sports & Outdoors,30,40,1200,03/15/2023,Miami,USA
B08R5V8R7D,Vitamin C Supplement,Health & Wellness,15,60,900,04/20/2023,Seattle,USA
B09B2Y8Z5V,Air Purifier,Home & Kitchen,150,8,1200,04/25/2023,Los Angeles,USA
B07XJ8C8F5,Electric Kettle,Home & Kitchen,45,20,900,05/01/2023,New York,USA
B083Q7QY3D,Men's Running Shoes,Apparel,90,15,1350,05/10/2023,Miami,USA
B09G3P5S1L,Women's Yoga Pants,Apparel,40,25,1000,06/18/2023,Chicago,USA
B08F5N3S4R,Blender Pro,Home & Kitchen,110,12,1320,07/22/2023,Seattle,USA
B07SDFL3S2,,Home & Kitchen,15,,450,07/25/2023,Miami,USA
B09N22GJ4V,Laptop Pro 15,Electronics,1200,2,2400,01/10/2024,Los Angeles,USA
B09248L42G,Smart Watch Series 7,Electronics,399,12,4788,01/15/2024,New York,USA
B07W5S2W2G,Wireless Mouse,Electronics,25,120,3000,02/03/2024,Chicago,USA
B08XN337B6,Standing Desk,Furniture,450,6,2700,02/08/2024,New York,USA
